,hotel,price,rating,start_date,city
0,Room Mate Anna,2056,8.7,2023-05-15,Barcelona
1,Sonder DO Plaça Reial,2406,8.4,2023-05-15,Barcelona
2,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,1180,8.5,2023-05-15,Barcelona
3,Hotel Paxton Barcelona,"Price €&nbsp;1,481",8.7,2023-05-15,Barcelona
4,Ohla Eixample,2123,8.9,2023-05-15,Barcelona
5,Casa Elliot by Bondia Hotel Group,1556,8.8,2023-05-15,Barcelona
6,The Moods Catedral Hostal Boutique,1119,8.6,2023-05-15,Barcelona
7,Hostal Levante Barcelona,676,7.9,2023-05-15,Barcelona
8,Bonanova Suite,1154,8.5,2023-05-15,Barcelona
9,Ofelias Hotel 4* Sup,1550,8.6,2023-05-15,Barcelona
10,Acacia Suite,1615,8.1,2023-05-15,Barcelona
11,Yurbban Passage Hotel &amp; Spa,1766,9.1,2023-05-15,Barcelona
12,Hotel Well and Come,1356,8.8,2023-05-15,Barcelona
13,ME Barcelona,2790,9.2,2023-05-15,Barcelona
14,Apartamentos Calvet,785,7.7,2023-05-15,Barcelona
15,Casa Camper Barcelona,1872,9.6,2023-05-15,Barcelona
16,H10 Madison 4* Sup,1981,9.3,2023-05-15,Barcelona
17,Hostal Oliva,994,8.8,2023-05-15,Barcelona
18,Yurbban Ramblas Boutique Hotel,1462,9.3,2023-05-15,Barcelona
19,H10 Marina Barcelona,1340,8.3,2023-05-15,Barcelona
20,Hotel Brummell,1417,9.1,2023-05-15,Barcelona
21,Brummell Apartments Eixample Izquierda/Valeris,1340,8.6,2023-05-15,Barcelona
22,Chic &amp; Basic Tallers Hostal,864,7.2,2023-05-15,Barcelona
23,Praktik Garden,980,8.2,2023-05-15,Barcelona
24,Musik Boutique Hotel,1471,9.1,2023-05-15,Barcelona
25,Monrooms Barcelona,729,8.6,2023-05-15,Barcelona
26,Apartment Gracia Torrijos,866,8.7,2023-05-15,Barcelona
27,Hotel Balmoral,1172,8.3,2023-05-15,Barcelona
28,Chic &amp; Basic Lemon Boutique Hotel,1059,8.4,2023-05-15,Barcelona
29,Rainbow apartment in Barcelona,1246,nan,2023-05-15,Barcelona
30,H10 Cubik 4* Sup,1626,8.9,2023-05-15,Barcelona
31,Villa Sagrada,905,8.1,2023-05-15,Barcelona
32,Hotel Condado,866,8.3,2023-05-15,Barcelona
33,Hotel Pulitzer Barcelona,1619,8.8,2023-05-15,Barcelona
34,Praktik Èssens,1394,9.2,2023-05-15,Barcelona
35,Vale Suites,2267,8.9,2023-05-15,Barcelona
36,Chic &amp; Basic Zoo,789,7.3,2023-05-15,Barcelona
