,hotel,price,rating,start_date,city
0,Vincci Bit,1577,8.4,2023-05-15,Barcelona
1,Sonder DO Plaça Reial,2219,8.4,2023-05-15,Barcelona
2,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,1146,8.5,2023-05-15,Barcelona
3,Hotel Paxton Barcelona,1487,8.7,2023-05-15,Barcelona
4,Ohla Eixample,2303,8.9,2023-05-15,Barcelona
5,El Avenida Palace,1091,8.5,2023-05-15,Barcelona
6,Praktik Garden,980,8.2,2023-05-15,Barcelona
7,Onix Liceo,971,8.3,2023-05-15,Barcelona
8,Onix Fira,860,7.7,2023-05-15,Barcelona
9,Praktik Èssens,1394,9.2,2023-05-15,Barcelona
10,Hotel Lleó,1193,8.2,2023-05-15,Barcelona
11,Catalonia Plaza Catalunya,1546,8.5,2023-05-15,Barcelona
12,Gran Hotel Havana by Escampa Hotels,1706,8.5,2023-05-15,Barcelona
13,Praktik Vinoteca,1040,8.6,2023-05-15,Barcelona
14,Catalonia Ramblas 4* Sup,1406,8.3,2023-05-15,Barcelona
15,Hotel Astoria,1022,8.5,2023-05-15,Barcelona
16,Aparthotel Atenea Calabria,1440,8.2,2023-05-15,Barcelona
17,Catalonia Portal de l'Angel,1476,8.7,2023-05-15,Barcelona
18,Praktik Bakery,1040,8.6,2023-05-15,Barcelona
19,Catalonia Avinyo,1076,8.5,2023-05-15,Barcelona
20,Onix Rambla,1026,8.4,2023-05-15,Barcelona
21,Hotel Sant Agustí,1198,7.9,2023-05-15,Barcelona
22,Catalonia Passeig de Gràcia 4* Sup,1526,9.0,2023-05-15,Barcelona
23,Praktik Rambla,1205,8.5,2023-05-15,Barcelona
24,Catalonia Barcelona Plaza,1266,8.3,2023-05-15,Barcelona
25,Hotel Continental Barcelona,1455,8.1,2023-05-15,Barcelona
26,Casa Elliot by Bondia Hotel Group,1435,8.8,2023-05-15,Barcelona
27,Catalonia Magdalenes,1566,9.1,2023-05-15,Barcelona
28,Duquesa de Cardona 4* Sup,1706,8.9,2023-05-15,Barcelona
29,Axel Hotel Barcelona &amp; Urban Spa- Adults Only,1245,8.4,2023-05-15,Barcelona
30,Catalonia Albeniz,956,8.6,2023-05-15,Barcelona
31,Nobu Hotel Barcelona,1824,8.4,2023-05-15,Barcelona
32,Hotel Turin Barcelona,1182,8.2,2023-05-15,Barcelona
33,Catalonia Eixample 1864,1186,8.3,2023-05-15,Barcelona
34,"The Hoxton, Poblenou",1526,8.7,2023-05-15,Barcelona
35,Hostal Centric,873,8.7,2023-05-15,Barcelona
36,Hostal Operaramblas,1053,8.6,2023-05-15,Barcelona
37,"Hotel Granados 83, a Member of Design Hotels",1313,8.6,2023-05-15,Barcelona
38,Isabella's House,1113,8.7,2023-05-15,Barcelona
39,Catalonia Square 4* Sup,1486,9.0,2023-05-15,Barcelona
