,hotel,price,rating,start_date,city
0,Lisbon Best Choice Prime Apartments Alfama,967,9.3,2023-05-29,Lisboa
1,Star inn Lisbon Airport,846,8.6,2023-05-29,Lisboa
2,TURIM Iberia Hotel,828,8.2,2023-05-29,Lisboa
3,TURIM Alameda Hotel,812,8.1,2023-05-29,Lisboa
4,Novotel Lisboa,798,7.8,2023-05-29,Lisboa
5,Hotel Avenida Palace,1918,9.4,2023-05-29,Lisboa
6,Boutique Chiado Suites,1040,9.2,2023-05-29,Lisboa
7,Meliá Lisboa Aeroporto,834,8.8,2023-05-29,Lisboa
8,Moxy Lisboa Oriente,738,8.5,2023-05-29,Lisboa
9,Boa Nova Guesthouse,454,7.4,2023-05-29,Lisboa
10,Hostel Petit Lusa,846,9.0,2023-05-29,Lisboa
11,Memmo Príncipe Real - Design Hotels,2304,9.0,2023-05-29,Lisboa
12,HF Fenix Garden,873,8.6,2023-05-29,Lisboa
13,GuestHouse Pena,336,7.4,2023-05-29,Lisboa
14,Memmo Alfama - Design Hotels,1778,9.0,2023-05-29,Lisboa
15,Lisbon Art Stay Apartments Baixa,964,8.9,2023-05-29,Lisboa
16,54 São Paulo - Exclusive Apartment Hotel,1037,9.1,2023-05-29,Lisboa
17,TURIM Boulevard Hotel,1498,8.6,2023-05-29,Lisboa
18,54 Santa Catarina Apartments,1127,9.3,2023-05-29,Lisboa
19,Chiado Prime Suites by Homing,1208,8.6,2023-05-29,Lisboa
20,HF Fenix Music,1023,8.7,2023-05-29,Lisboa
21,Montecarmo12,1418,8.1,2023-05-29,Lisboa
22,São Vicente Alfama Hotel by TRIUS Hotels,1724,9.4,2023-05-29,Lisboa
23,Bairro Alto Hotel,2874,9.2,2023-05-29,Lisboa
24,TM Luxury Apartments Lisbon,1134,9.4,2023-05-29,Lisboa
25,SantoSweethome 1,636,8.4,2023-05-29,Lisboa
26,Grape Harbor Prata Apartments,1399,9.2,2023-05-29,Lisboa
27,Charm @ the very heart of Lisboa,686,nan,2023-05-29,Lisboa
28,Pensao Nova Goa,414,7.2,2023-05-29,Lisboa
29,HF Fenix Lisboa,1037,8.2,2023-05-29,Lisboa
30,HF Fenix Urban,901,8.1,2023-05-29,Lisboa
31,Duplo Charme Boutique Hotel,744,8.3,2023-05-29,Lisboa
32,Residencial Florescente,1181,8.7,2023-05-29,Lisboa
33,Castle Terrace Exclusive Apartment - Home By The Castle Apartment,804,9.0,2023-05-29,Lisboa
34,RENT4REST LISBON DOWNTOWN TINY STUDIO Apartments,794,7.9,2023-05-29,Lisboa
35,Light of Lisbon Apartments I,760,7.5,2023-05-29,Lisboa
36,Pousada de Lisboa - Small Luxury Hotels Of The World,2363,9.0,2023-05-29,Lisboa
37,Cais Urban Lodge,899,8.9,2023-05-29,Lisboa
38,Sublime Lisboa,3054,9.7,2023-05-29,Lisboa
39,Lisboa Pessoa Hotel,1902,9.0,2023-05-29,Lisboa
40,The Hilltop Nest,855,9.3,2023-05-29,Lisboa
41,Republica83-Campo Pequeno Home,536,8.4,2023-05-29,Lisboa
42,Wine &amp; Books Lisboa Hotel,1422,9.3,2023-05-29,Lisboa
43,EPIC SANA Marquês Hotel,2076,9.2,2023-05-29,Lisboa
44,Calado Apartments,575,8.8,2023-05-29,Lisboa
45,The Back Street Nest,909,9.3,2023-05-29,Lisboa
46,Maxime Hotel Lisbon,1065,8.8,2023-05-29,Lisboa
47,Lumen Hotel &amp; The Lisbon Light Show,907,9.1,2023-05-29,Lisboa
48,Browns Central Hotel,1299,8.8,2023-05-29,Lisboa
49,EPIC SANA Lisboa Hotel,1851,9.3,2023-05-29,Lisboa
50,Down Town Apartment - Expo23,768,8.4,2023-05-29,Lisboa
51,The Emerald House Lisbon - Curio Collection By Hilton,1394,9.0,2023-05-29,Lisboa
52,Chiado Arty Flats,1595,9.3,2023-05-29,Lisboa
53,Hotel Alif Campo Pequeno,750,7.7,2023-05-29,Lisboa
54,TURIM Saldanha Hotel,848,8.0,2023-05-29,Lisboa
55,Le Consulat,2119,8.7,2023-05-29,Lisboa
56,Lisbon Wine House - Rooms &amp; Suites,529,8.3,2023-05-29,Lisboa
57,Browns Boutique Hotel,1287,8.9,2023-05-29,Lisboa
58,TURIM Europa Hotel,741,7.8,2023-05-29,Lisboa
59,Hall Chiado,704,8.7,2023-05-29,Lisboa
60,MYRIAD by SANA Hotels,2076,9.3,2023-05-29,Lisboa
61,Lx Boutique Hotel,1284,8.6,2023-05-29,Lisboa
62,Lisbon Cheese &amp; Wine Suites,1257,8.6,2023-05-29,Lisboa
63,Lisbon Serviced Apartments - Avenida,993,8.2,2023-05-29,Lisboa
64,RENT4REST LISBON PARQUE DAS NAÇÕES 17Th FLOOR RIVER VIEW,1642,9.2,2023-05-29,Lisboa
65,Hotel Mercure Lisboa,798,7.7,2023-05-29,Lisboa
66,Villa Baixa - Lisbon Luxury Apartments,1815,9.5,2023-05-29,Lisboa
67,TURIM Terreiro do Paço Hotel,1723,7.7,2023-05-29,Lisboa
68,Hotel Travel Park Lisboa,640,8.3,2023-05-29,Lisboa
69,Lisboa Prata Boutique Hotel,1174,8.2,2023-05-29,Lisboa
70,Pop Saldanha Premium Apartments,984,8.6,2023-05-29,Lisboa
71,Majesticlara Lisbon Guest House,486,8.2,2023-05-29,Lisboa
72,America Diamonds Hotel &amp; Sushi Bar,978,8.5,2023-05-29,Lisboa
73,Ibis Styles Lisboa Centro Liberdade NE,770,8.6,2023-05-29,Lisboa
74,Portas Do Bairro,964,7.6,2023-05-29,Lisboa
75,Hotel 3K Barcelona,768,7.7,2023-05-29,Lisboa
76,Browns Downtown Hotel,1159,8.7,2023-05-29,Lisboa
77,Alfama Right Point,891,8.4,2023-05-29,Lisboa
78,Finest Rentals - Expo Riverside,957,8.9,2023-05-29,Lisboa
79,FLH Expo Apartment with View,746,nan,2023-05-29,Lisboa
80,Hola Lisbon Suites,816,8.5,2023-05-29,Lisboa
81,Lisbon Serviced Apartments - Parque,1249,8.3,2023-05-29,Lisboa
82,Hotel Hotel - Member of Design Hotels,2090,9.3,2023-05-29,Lisboa
83,Portas do Castelo Apartments,1206,8.5,2023-05-29,Lisboa
84,Esqina Cosmopolitan Lodge,1130,8.7,2023-05-29,Lisboa
85,Hotel Alif Avenidas,1230,8.2,2023-05-29,Lisboa
86,Vila Nova Guesthouse,624,8.3,2023-05-29,Lisboa
87,Dom Pedro Lisboa,1102,8.5,2023-05-29,Lisboa
88,Charming Apartment with Balcony &amp; Pool,1139,9.0,2023-05-29,Lisboa
89,Belem Boutique Apartments by Homing,621,6.7,2023-05-29,Lisboa
90,Eurostars Lisboa Baixa,1918,9.7,2023-05-29,Lisboa
91,ON City Flats,984,7.9,2023-05-29,Lisboa
92,Like Home - Santos,790,8.6,2023-05-29,Lisboa
93,Portas do Céu,1098,8.4,2023-05-29,Lisboa
94,Belém- Charming Apartments,804,8.7,2023-05-29,Lisboa
95,Amazing flat in Madragoa,519,8.1,2023-05-29,Lisboa
96,Zenit Lisboa,771,8.4,2023-05-29,Lisboa
97,Sofitel Lisbon Liberdade,1502,8.4,2023-05-29,Lisboa
98,York House Lisboa Hotel,1164,8.4,2023-05-29,Lisboa
99,Vila Gale Opera,1252,7.7,2023-05-29,Lisboa
100,TURIM Marques Hotel,1250,8.1,2023-05-29,Lisboa
101,Bijou Studio Rosa - Bairro Alto,569,7.6,2023-05-29,Lisboa
102,Akicity Alameda Charm,990,8.0,2023-05-29,Lisboa
103,TryLisbon Alcântara,551,7.8,2023-05-29,Lisboa
104,Hotel Principe Real,959,7.9,2023-05-29,Lisboa
105,Alegria A Lisbon Boutique Hotel,1302,9.0,2023-05-29,Lisboa
106,Hotel Portuense Lisboa,842,8.6,2023-05-29,Lisboa
107,Hotel Real Palacio,1079,8.0,2023-05-29,Lisboa
108,1898 Home &amp; Suites,528,7.0,2023-05-29,Lisboa
109,Monopoly house for GROUPS!,1471,9.5,2023-05-29,Lisboa
110,Hotel Miraparque,918,8.3,2023-05-29,Lisboa
111,Cenário Catita Hostel,246,7.4,2023-05-29,Lisboa
112,The Visionaire Apartments,1424,9.0,2023-05-29,Lisboa
113,Alfama Apartments Services,769,9.4,2023-05-29,Lisboa
114,Raw Culture Art &amp; Lofts Bairro Alto,2671,9.4,2023-05-29,Lisboa
115,Hostel Crespo,438,8.0,2023-05-29,Lisboa
116,BessaHotel Liberdade,1924,9.1,2023-05-29,Lisboa
117,Ascensor da Bica - Lisbon Serviced Apartments,883,8.1,2023-05-29,Lisboa
118,Hotel Gat Rossio,857,8.6,2023-05-29,Lisboa
119,Casa Boma Lisboa - Brighting And Charming Apartment - Lapa VI,830,8.0,2023-05-29,Lisboa
120,Deco Gem in Santa Catarina,1839,7.5,2023-05-29,Lisboa
121,Casa dell'Arte Club House,2274,9.2,2023-05-29,Lisboa
122,Hygge House,825,8.7,2023-05-29,Lisboa
123,Dinya Lisbon Hotel &amp; Lounge Bar,953,8.6,2023-05-29,Lisboa
124,Lisbon 5 Hotel,804,8.3,2023-05-29,Lisboa
125,The Lisbonaire Apartments,1242,9.0,2023-05-29,Lisboa
126,Inspira Liberdade Boutique Hotel,1127,8.7,2023-05-29,Lisboa
127,Dreaming Lisbon - Trigueiros,879,8.5,2023-05-29,Lisboa
128,SANA Malhoa Hotel,1171,8.7,2023-05-29,Lisboa
129,1869 Príncipe Real House,1519,9.1,2023-05-29,Lisboa
130,Apartamento Roma,800,9.5,2023-05-29,Lisboa
131,The Editory Riverside Santa Apolónia Hotel,1464,8.7,2023-05-29,Lisboa
132,Amazonia Lisboa Hotel,627,7.8,2023-05-29,Lisboa
133,Hotel Do Chile,769,7.7,2023-05-29,Lisboa
134,"Stay local in Alfama! Deolinda central Home, amazing view",1062,9.6,2023-05-29,Lisboa
135,AlmaLusa Baixa/Chiado,2293,9.1,2023-05-29,Lisboa
136,"Holiday Inn Express Lisboa - Av. Liberdade, an IHG Hotel",939,8.5,2023-05-29,Lisboa
137,Castilho House,704,8.8,2023-05-29,Lisboa
138,Mama Shelter Lisboa,790,8.4,2023-05-29,Lisboa
139,"Holiday Inn Express Lisbon Airport, an IHG Hotel",746,8.0,2023-05-29,Lisboa
140,Hotel Principe Lisboa,859,8.7,2023-05-29,Lisboa
141,Lost Lisbon :: Chiado House,1464,9.0,2023-05-29,Lisboa
142,Chiado 44,937,8.6,2023-05-29,Lisboa
143,The Vintage Hotel &amp; Spa Lisbon,2214,9.0,2023-05-29,Lisboa
144,Vincci Baixa,1805,8.6,2023-05-29,Lisboa
145,Ikonik Lisboa,707,8.6,2023-05-29,Lisboa
146,Contador Mor Rooms and Apartments,738,8.3,2023-05-29,Lisboa
147,The Central Lisbonary Apartment,669,7.5,2023-05-29,Lisboa
148,Sta Catarina Design Apartments by Lisbon One,1254,8.6,2023-05-29,Lisboa
149,Garam Lisboa,1158,8.9,2023-05-29,Lisboa
150,Pestana Lisboa Vintage City Center Suites,906,8.1,2023-05-29,Lisboa
151,LR Guest House,1251,9.5,2023-05-29,Lisboa
152,Chiado Mercy II,1074,9.0,2023-05-29,Lisboa
153,Lisbon Serviced Apartments - Santos,935,8.4,2023-05-29,Lisboa
154,ON/SET Alfama - Lisbon Cinema Apartments,1145,9.9,2023-05-29,Lisboa
155,PortoBay Marquês,1721,8.9,2023-05-29,Lisboa
156,Rossio FLH Suites,777,7.8,2023-05-29,Lisboa
157,262 Baixa Guesthouse,381,7.5,2023-05-29,Lisboa
