,hotel,price,rating,start_date,city
0,Catalonia Majórica,810,8.0,2023-05-15,Palma de Mallorca
1,Hotel Araxa - Adults Only,764,8.5,2023-05-15,Palma de Mallorca
2,Protur Naisa Palma Hotel,1483,8.9,2023-05-15,Palma de Mallorca
3,Hotel Colon,576,7.4,2023-05-15,Palma de Mallorca
4,Hotel Saratoga,1477,8.7,2023-05-15,Palma de Mallorca
5,HM Palma Blanc,1423,8.1,2023-05-15,Palma de Mallorca
6,Hotel Almudaina,1270,8.7,2023-05-15,Palma de Mallorca
7,HM Jaime III,1168,8.0,2023-05-15,Palma de Mallorca
8,Sercotel Hotel Zurbarán,780,8.2,2023-05-15,Palma de Mallorca
9,Hotel Joan Miró Museum,904,8.2,2023-05-15,Palma de Mallorca
10,HM Balanguera,1069,8.3,2023-05-15,Palma de Mallorca
11,Brondo Architect Hotel,1248,7.7,2023-05-15,Palma de Mallorca
12,Hesperia Ciudad de Mallorca,746,7.9,2023-05-15,Palma de Mallorca
13,ICON Rosetó,1441,8.8,2023-05-15,Palma de Mallorca
14,UR Palacio Avenida,990,7.1,2023-05-15,Palma de Mallorca
15,Mallorca Suites - Turismo de Interior,1320,8.9,2023-05-15,Palma de Mallorca
16,GPRO Valparaiso Palace &amp; Spa,1176,7.9,2023-05-15,Palma de Mallorca
17,Apuntadores 8,796,8.2,2023-05-15,Palma de Mallorca
18,"Hotel Palma Bellver , Affiliated by Meliá",981,8.0,2023-05-15,Palma de Mallorca
19,Bordoy Continental Palma,866,8.8,2023-05-15,Palma de Mallorca
20,Hotel Can Alomar,2582,9.2,2023-05-15,Palma de Mallorca
21,Eurostars Marivent,728,8.2,2023-05-15,Palma de Mallorca
22,AC Hotel Ciutat de Palma by Marriott,993,8.4,2023-05-15,Palma de Mallorca
23,Borne Suites - Turismo de Interior,1595,8.9,2023-05-15,Palma de Mallorca
24,L´Aguila Suites - Turismo de Interior,1298,9.2,2023-05-15,Palma de Mallorca
25,Nixe Palace,1457,8.4,2023-05-15,Palma de Mallorca
26,Es Princep - The Leading Hotels of the World,2770,9.2,2023-05-15,Palma de Mallorca
27,Can Blau Homes Turismo de Interior,1385,9.3,2023-05-15,Palma de Mallorca
28,INNSiDE by Meliá Palma Bosque,1057,8.4,2023-05-15,Palma de Mallorca
29,Isla Mallorca &amp; Spa,927,8.4,2023-05-15,Palma de Mallorca
30,Can Bordoy Grand House &amp; Garden,3443,9.1,2023-05-15,Palma de Mallorca
