,hotel,price,rating,start_date,city
0,Hôtel Saint-Pétersbourg Opéra &amp; Spa,2187,8.4,2023-05-29,Paris
1,Padam Hôtel,2715,nan,2023-05-29,Paris
2,Fauchon l'Hôtel Paris,4731,9.3,2023-05-29,Paris
3,Résidence Louvre - Bellan,2162,8.4,2023-05-29,Paris
4,Hotel Restaurant Au Boeuf Couronné,977,8.5,2023-05-29,Paris
5,Novotel Paris Porte Versailles,1604,8.5,2023-05-29,Paris
6,Novotel Paris 20 Belleville,1335,8.3,2023-05-29,Paris
7,Aparthotel Adagio Paris Nation,1121,8.4,2023-05-29,Paris
8,Hotel Minerve,1823,8.2,2023-05-29,Paris
9,Novotel Paris Centre Tour Eiffel,1625,7.3,2023-05-29,Paris
10,Hôtel d'Argenson,1364,8.4,2023-05-29,Paris
11,Hôtel De l'Arcade,1643,8.3,2023-05-29,Paris
12,citizenM Paris Gare de Lyon,1604,8.4,2023-05-29,Paris
13,Residhome Paris Gare de Lyon - Jacqueline de Romilly,1108,8.2,2023-05-29,Paris
14,Hôtel A La Villa des Artistes,1547,8.6,2023-05-29,Paris
15,Hotel du Petit Moulin,3155,9.0,2023-05-29,Paris
16,Hôtel Madison,3218,8.6,2023-05-29,Paris
17,B&amp;B HOTEL Paris 17 Batignolles,887,7.9,2023-05-29,Paris
18,Hotel Paix Republique,1271,8.1,2023-05-29,Paris
19,"Terrass"" Hotel",2103,8.8,2023-05-29,Paris
20,Residhome Paris Rosa Parks,666,8.3,2023-05-29,Paris
21,Mercure Paris Bastille Marais,1225,8.0,2023-05-29,Paris
22,Floride-Etoile,"Price €&nbsp;1,255",8.5,2023-05-29,Paris
23,Best Western Aramis Saint Germain,1637,8.1,2023-05-29,Paris
24,Korner Opera,1570,8.2,2023-05-29,Paris
25,Splendid Etoile,2579,8.8,2023-05-29,Paris
26,TRIBE Paris Batignolles,1141,8.6,2023-05-29,Paris
27,Hotel Aida Opera,1522,8.2,2023-05-29,Paris
28,Mercure Paris Montparnasse Pasteur,1452,8.0,2023-05-29,Paris
29,Mercure Paris Vaugirard Porte De Versailles,1372,8.2,2023-05-29,Paris
30,Louisa Hotel Paris,956,7.5,2023-05-29,Paris
31,"Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel",1719,8.6,2023-05-29,Paris
32,Appart'City Paris La Villette,789,7.1,2023-05-29,Paris
33,Hôtel du Vieux Marais,1577,8.0,2023-05-29,Paris
34,Hotel Les Bains Paris,2795,8.9,2023-05-29,Paris
35,Relais12bis Bed &amp; Breakfast By Eiffel Tower,2732,9.8,2023-05-29,Paris
36,Hotel Park Lane Paris,1775,8.1,2023-05-29,Paris
37,Hotel Beausejour,1158,7.7,2023-05-29,Paris
38,Hotel Muguet,1908,9.0,2023-05-29,Paris
39,Jardins Eiffel,1838,8.4,2023-05-29,Paris
40,Hôtel Dame des Arts,2815,10,2023-05-29,Paris
41,Pavillon Faubourg Saint-Germain &amp; Spa,3825,8.9,2023-05-29,Paris
42,Hôtel Square Louvois,2393,8.9,2023-05-29,Paris
43,SO Paris Hotel,4009,9.1,2023-05-29,Paris
44,Hôtel 15 Montparnasse,1385,8.3,2023-05-29,Paris
45,9Confidentiel,3255,8.7,2023-05-29,Paris
46,Hotel Aix Europe,970,7.0,2023-05-29,Paris
47,Hotel Mimosa Paris,975,7.5,2023-05-29,Paris
48,Le Pavillon des Lettres - Small Luxury Hotels of the World,2933,8.8,2023-05-29,Paris
49,Dream Hôtel Opéra &amp; Spa,1649,8.2,2023-05-29,Paris
50,My Home In Paris,1715,9.1,2023-05-29,Paris
51,Best Western Premier Opéra Faubourg,1624,7.8,2023-05-29,Paris
52,Hotel Best Western Anjou Lafayette,1583,8.1,2023-05-29,Paris
53,Hôtel Bienvenue,1895,7.9,2023-05-29,Paris
54,Cler Hotel,2633,8.8,2023-05-29,Paris
55,Novotel Suites Paris Montreuil Vincennes,875,7.7,2023-05-29,Paris
56,Best Western Plus La Demeure,1739,8.2,2023-05-29,Paris
